student_id,question,subject,marks,total_marks,student_answer,model_answer
S001,Define biodiversity,Environmental Studies,4,10,I am not sure about this topic.,Biodiversity is variety of species in ecosystem
S001,Define ozone layer,Environmental Studies,5,10,It is related to Ozone layer but I forgot details.,Ozone layer protects from UV rays
S001,Explain GIL,Advanced Python,5,10,It is related to Global Interpreter but I forgot details.,Global Interpreter Lock prevents multiple native threads execution
S001,Explain deadlock,OS,10,10,Deadlock is a situation where processes wait and more.,Deadlock is a situation where processes wait indefinitely
S001,What is JVM?,Java,3,10,I am not sure about this topic.,JVM executes bytecode and provides platform independence
S001,What is telescope?,Computers in Space & Astronomy,9,10,Telescope collects light to observe distant and more.,Telescope collects light to observe distant objects
S001,Define virtual memory,OS,9,10,Virtual memory uses disk as memory and more.,Virtual memory uses disk as memory extension
S001,Explain pandas,Advanced Python,5,10,It is related to Pandas is but I forgot details.,Pandas is used for data manipulation
S001,Explain OOP principles,Java,5,10,It is related to OOP includes but I forgot details.,OOP includes encapsulation inheritance polymorphism abstraction
S001,Explain encapsulation,Java,5,10,It is related to Encapsulation binds but I forgot details.,Encapsulation binds data and methods together restricting access
S002,Define Yoga,IKS,6,10,It is related to Yoga is but I forgot details.,Yoga is physical mental spiritual practice
S002,Define deforestation,Environmental Studies,4,10,I am not sure about this topic.,Deforestation is removal of forests
S002,Explain satellites,Computers in Space & Astronomy,6,10,It is related to Satellites orbit but I forgot details.,Satellites orbit planets for communication
S002,Explain climate change,Environmental Studies,6,10,It is related to Climate change but I forgot details.,Climate change refers to long term weather changes
S002,Define galaxy,Computers in Space & Astronomy,4,10,I am not sure about this topic.,Galaxy is a system of stars gas and dust
S002,Explain Vedanta,IKS,7,10,It is related to Vedanta is but I forgot details.,Vedanta is philosophical system based on Vedas
S002,Explain black hole,Computers in Space & Astronomy,5,10,It is related to Black holes but I forgot details.,Black holes have gravitational pull so strong nothing escapes
S002,What is OS?,OS,5,10,It is related to OS manages but I forgot details.,OS manages hardware and software resources
S002,Explain generators,Advanced Python,7,10,It is related to Generators produce but I forgot details.,Generators produce sequence using yield
S002,Explain exception handling,Java,5,10,It is related to Exception handling but I forgot details.,Exception handling manages runtime errors
S003,Explain pollution,Environmental Studies,2,10,I am not sure about this topic.,Pollution is contamination of environment
S003,Explain pandas,Advanced Python,7,10,It is related to Pandas is but I forgot details.,Pandas is used for data manipulation
S003,Define polymorphism,Java,8,10,Polymorphism allows methods to take many forms including and more.,Polymorphism allows methods to take many forms including overriding
S003,Define deforestation,Environmental Studies,2,10,I am not sure about this topic.,Deforestation is removal of forests
S003,What is JVM?,Java,7,10,It is related to JVM executes but I forgot details.,JVM executes bytecode and provides platform independence
S003,What is threading?,Advanced Python,7,10,It is related to Threading allows but I forgot details.,Threading allows concurrent execution of code
S003,What is OS?,OS,4,10,I am not sure about this topic.,OS manages hardware and software resources
S003,Explain water cycle,Environmental Studies,3,10,I am not sure about this topic.,Water cycle includes evaporation condensation precipitation
S003,What is NASA?,Computers in Space & Astronomy,4,10,I am not sure about this topic.,NASA is US space agency
S003,Define ecosystem,Environmental Studies,4,10,I am not sure about this topic.,Ecosystem is interaction of living and nonliving components
S004,Define universe,Computers in Space & Astronomy,8,10,Universe includes all space matter and and more.,Universe includes all space matter and energy
S004,Explain exception handling,Java,2,10,I am not sure about this topic.,Exception handling manages runtime errors
S004,Define ozone layer,Environmental Studies,4,10,I am not sure about this topic.,Ozone layer protects from UV rays
S004,Explain abstraction,Java,5,10,It is related to Abstraction hides but I forgot details.,Abstraction hides implementation details
S004,Explain deadlock,OS,7,10,It is related to Deadlock is but I forgot details.,Deadlock is a situation where processes wait indefinitely
S004,What is threading?,Advanced Python,3,10,I am not sure about this topic.,Threading allows concurrent execution of code
S004,Explain satellites,Computers in Space & Astronomy,10,10,Satellites orbit planets for and more.,Satellites orbit planets for communication
S004,Define ecosystem,Environmental Studies,5,10,It is related to Ecosystem is but I forgot details.,Ecosystem is interaction of living and nonliving components
S004,Explain generators,Advanced Python,2,10,I am not sure about this topic.,Generators produce sequence using yield
S004,Define polymorphism,Java,2,10,I am not sure about this topic.,Polymorphism allows methods to take many forms including overriding
S005,Explain generators,Advanced Python,6,10,It is related to Generators produce but I forgot details.,Generators produce sequence using yield
S005,What is telescope?,Computers in Space & Astronomy,6,10,It is related to Telescope collects but I forgot details.,Telescope collects light to observe distant objects
S005,Explain lambda functions,Advanced Python,6,10,It is related to Lambda functions but I forgot details.,Lambda functions are small anonymous inline functions
S005,Explain carbon footprint,Environmental Studies,4,10,I am not sure about this topic.,Carbon footprint measures greenhouse gases
S005,Define thread,OS,7,10,It is related to Thread is but I forgot details.,Thread is smallest unit of execution within a process
S005,Explain inheritance,Java,4,10,I am not sure about this topic.,Inheritance allows a class to acquire properties of another class
S005,Define universe,Computers in Space & Astronomy,4,10,I am not sure about this topic.,Universe includes all space matter and energy
S005,Explain exception handling,Java,5,10,It is related to Exception handling but I forgot details.,Exception handling manages runtime errors
S005,What is OS?,OS,6,10,It is related to OS manages but I forgot details.,OS manages hardware and software resources
S005,What is JVM?,Java,8,10,JVM executes bytecode and provides platform and more.,JVM executes bytecode and provides platform independence
S006,Define thread,OS,3,10,I am not sure about this topic.,Thread is smallest unit of execution within a process
S006,Explain GIL,Advanced Python,10,10,Global Interpreter Lock prevents multiple native threads and more.,Global Interpreter Lock prevents multiple native threads execution
S006,Explain Vedanta,IKS,3,10,I am not sure about this topic.,Vedanta is philosophical system based on Vedas
S006,What is sustainability?,Environmental Studies,5,10,It is related to Sustainability meets but I forgot details.,Sustainability meets needs without harming future
S006,Explain list comprehension,Advanced Python,7,10,It is related to List comprehension but I forgot details.,List comprehension provides concise syntax for lists
S006,Explain pandas,Advanced Python,7,10,It is related to Pandas is but I forgot details.,Pandas is used for data manipulation
S006,Explain lambda functions,Advanced Python,8,10,Lambda functions are small anonymous inline and more.,Lambda functions are small anonymous inline functions
S006,What is telescope?,Computers in Space & Astronomy,3,10,I am not sure about this topic.,Telescope collects light to observe distant objects
S006,Explain semaphore,OS,3,10,I am not sure about this topic.,Semaphore controls access to resources
S006,Explain deadlock,OS,3,10,I am not sure about this topic.,Deadlock is a situation where processes wait indefinitely
S007,Explain nebula,Computers in Space & Astronomy,8,10,Nebula is cloud of gas and and more.,Nebula is cloud of gas and dust
S007,What is NASA?,Computers in Space & Astronomy,9,10,NASA is US space and more.,NASA is US space agency
S007,Explain Ayurveda,IKS,2,10,I am not sure about this topic.,Ayurveda is ancient Indian system of medicine
S007,Define Yoga,IKS,4,10,I am not sure about this topic.,Yoga is physical mental spiritual practice
S007,Explain carbon footprint,Environmental Studies,5,10,It is related to Carbon footprint but I forgot details.,Carbon footprint measures greenhouse gases
S007,Explain Dharma,IKS,3,10,I am not sure about this topic.,Dharma refers to duty and ethics
S007,What is multiprocessing?,Advanced Python,4,10,I am not sure about this topic.,Multiprocessing runs processes in parallel
S007,What is class?,Java,3,10,I am not sure about this topic.,Class defines structure of object
S007,Explain Indian mathematics,IKS,2,10,I am not sure about this topic.,Indian mathematics contributed zero and algebra
S007,What is telescope?,Computers in Space & Astronomy,10,10,Telescope collects light to observe distant and more.,Telescope collects light to observe distant objects
S008,Explain water cycle,Environmental Studies,6,10,It is related to Water cycle but I forgot details.,Water cycle includes evaporation condensation precipitation
S008,Define ozone layer,Environmental Studies,4,10,I am not sure about this topic.,Ozone layer protects from UV rays
S008,Explain Vedas,IKS,6,10,It is related to Vedas are but I forgot details.,Vedas are ancient sacred Indian scriptures
S008,Explain Ayurveda,IKS,8,10,Ayurveda is ancient Indian system of and more.,Ayurveda is ancient Indian system of medicine
S008,What is threading?,Advanced Python,5,10,It is related to Threading allows but I forgot details.,Threading allows concurrent execution of code
S008,Define biodiversity,Environmental Studies,8,10,Biodiversity is variety of species in and more.,Biodiversity is variety of species in ecosystem
S008,Define interface,Java,4,10,I am not sure about this topic.,Interface defines methods without implementation
S008,Explain OOP principles,Java,8,10,OOP includes encapsulation inheritance polymorphism and more.,OOP includes encapsulation inheritance polymorphism abstraction
S008,Explain OOP concepts,Java,4,10,I am not sure about this topic.,OOP uses encapsulation inheritance polymorphism abstraction
S008,Define galaxy,Computers in Space & Astronomy,6,10,It is related to Galaxy is but I forgot details.,Galaxy is a system of stars gas and dust
S009,Explain generators,Advanced Python,9,10,Generators produce sequence using and more.,Generators produce sequence using yield
S009,Explain Dharma,IKS,4,10,I am not sure about this topic.,Dharma refers to duty and ethics
S009,What is NASA?,Computers in Space & Astronomy,2,10,I am not sure about this topic.,NASA is US space agency
S009,Explain encapsulation,Java,7,10,It is related to Encapsulation binds but I forgot details.,Encapsulation binds data and methods together restricting access
S009,Define light year,Computers in Space & Astronomy,2,10,I am not sure about this topic.,Light year is distance light travels in one year
S009,Explain paging,OS,2,10,I am not sure about this topic.,Paging divides memory into fixed size pages
S009,Explain star formation,Computers in Space & Astronomy,5,10,It is related to Stars form but I forgot details.,Stars form from gas clouds
