student_id,section,Java,Advanced_Python,OS,Computers_in_Space_Astronomy,IKS,Environmental_Studies,average_marks
S001,A,78,65,70,82,88,75,76.3
S002,A,85,72,68,90,80,77,78.7
S003,A,60,55,58,65,70,62,61.7
S004,A,92,88,84,95,91,89,89.8
S005,A,70,60,65,72,75,68,68.3
S006,A,66,58,60,70,72,64,65.0
S007,A,88,82,79,91,85,83,84.7
S008,A,74,68,66,78,80,72,73.0
S009,A,55,50,52,60,65,58,56.7
S010,A,90,85,88,92,89,87,88.5
S011,A,76,70,72,80,78,74,75.0
S012,A,69,62,64,73,75,67,68.3
S013,A,83,78,80,88,82,79,81.7
S014,A,58,54,56,63,68,60,59.8
S015,A,91,87,85,94,90,88,89.2
S016,A,72,65,68,76,77,70,71.3
S017,A,64,60,62,71,73,66,66.0
S018,A,86,80,78,89,84,81,83.0
S019,A,57,52,55,62,66,59,58.5
S020,A,93,89,87,96,92,90,91.2
S021,B,75,68,70,80,82,74,74.8
S022,B,82,75,72,88,85,79,80.2
S023,B,62,58,60,68,70,64,63.7
S024,B,90,85,83,92,88,86,87.3
S025,B,71,65,67,75,78,70,71.0
S026,B,67,60,62,72,74,66,66.8
S027,B,85,80,78,89,83,81,82.7
S028,B,73,68,66,77,79,72,72.5
S029,B,56,52,54,61,65,58,57.7
S030,B,91,87,86,94,90,88,89.3
S031,B,77,70,72,81,80,75,75.8
S032,B,68,62,64,73,76,69,68.7
S033,B,84,78,79,87,82,80,81.7
S034,B,59,55,57,64,69,61,60.8
S035,B,92,88,85,95,91,89,90.0
S036,B,72,66,68,76,78,71,71.8
S037,B,65,60,63,70,74,67,66.5
S038,B,87,82,80,90,85,83,84.5
S039,B,58,53,56,62,67,60,59.3
S040,B,94,90,88,97,93,91,92.2
S041,C,76,70,72,82,84,75,76.5
S042,C,83,77,74,89,86,80,81.5
S043,C,63,59,61,69,72,65,64.8
S044,C,91,86,84,93,89,87,88.3
S045,C,72,66,68,76,79,71,72.0
S046,C,68,61,63,73,75,67,67.8
S047,C,86,81,79,90,84,82,83.7
S048,C,74,69,67,78,80,73,73.5
S049,C,57,53,55,62,66,59,58.7
S050,C,92,88,86,95,91,89,90.2
S051,C,78,72,74,83,81,76,77.3
S052,C,69,63,65,74,77,70,69.7
S053,C,85,79,80,88,83,81,82.7
S054,C,60,56,58,65,70,62,61.8
S055,C,93,89,87,96,92,90,91.2
S056,C,73,67,69,77,80,72,73.0
S057,C,66,61,64,71,75,68,67.5
S058,C,88,83,81,91,86,84,85.5
S059,C,59,54,57,63,68,61,60.3
S060,C,95,91,89,98,94,92,93.2
